id_product;id_feature;id_feature_value;
"41";"95";"2476";
"41";"99";"59172";
"41";"100";"59173";
"45";"8";"26";
"45";"9";"27";
"45";"10";"30";
"45";"32";"87";
"45";"46";"99";
"45";"48";"75";
"45";"57";"2408";
"45";"66";"2417";
"45";"69";"2420";
"45";"78";"2432";
"45";"80";"2444";
"45";"81";"2429";
"45";"83";"2464";
"45";"86";"2468";
"45";"87";"2467";
"45";"90";"2470";
"45";"98";"2479";
"45";"99";"57031";
"45";"100";"57032";
"46";"66";"2417";
"46";"67";"2418";
"46";"69";"2420";
"46";"73";"2428";
"46";"76";"2424";
"46";"78";"2432";
"46";"80";"2436";
"46";"81";"2429";
"46";"83";"2464";
"46";"86";"2468";
"46";"87";"2467";
"46";"90";"2470";
"46";"91";"2473";
"46";"95";"2476";
"46";"99";"58946";
"46";"100";"58947";
"48";"1";"123";
"48";"9";"18669";
"48";"10";"30";
"48";"11";"32";
"48";"13";"40";
"48";"16";"46";
"48";"21";"56";
"48";"32";"87";
"48";"39";"79";
"48";"47";"77";
"48";"48";"76";
"48";"49";"139";
"48";"54";"176";
"48";"66";"2417";
"48";"73";"2428";
"48";"75";"2425";
"48";"80";"2446";
"48";"83";"2464";
"48";"86";"2468";
"48";"88";"2469";
"48";"99";"65591";
"48";"100";"65592";
"48";"101";"18518";
"48";"102";"18615";
"48";"103";"18524";
"49";"66";"2417";
"49";"73";"2428";
"49";"75";"2425";
"49";"83";"2464";
"49";"86";"2468";
"49";"88";"2469";
"49";"99";"58940";
"49";"100";"58941";
"50";"1";"137";
"50";"8";"25";
"50";"9";"27";
"50";"11";"32";
"50";"13";"40";
"50";"14";"42";
"50";"16";"46";
"50";"21";"56";
"50";"32";"87";
"50";"39";"79";
"50";"48";"76";
"50";"49";"139";
"50";"54";"176";
"50";"66";"2417";
"50";"73";"2428";
"50";"75";"2425";
"50";"83";"2464";
"50";"86";"2468";
"50";"88";"2469";
"50";"99";"44698";
"50";"100";"44699";
"52";"1";"116";
"52";"9";"27";
"52";"10";"30";
"52";"13";"40";
"52";"14";"42";
"52";"16";"46";
"52";"17";"48";
"52";"21";"56";
"52";"36";"92";
"52";"39";"79";
"52";"47";"77";
"52";"48";"75";
"52";"49";"117";
"52";"66";"2417";
"52";"67";"2418";
"52";"69";"2420";
"52";"75";"2425";
"52";"76";"2424";
"52";"80";"2441";
"52";"81";"2429";
"52";"84";"2463";
"52";"85";"2466";
"52";"88";"2469";
"52";"89";"2471";
"52";"95";"2476";
"52";"99";"55676";
"52";"100";"55677";
"53";"1";"116";
"53";"9";"27";
"53";"10";"30";
"53";"13";"40";
"53";"14";"42";
"53";"16";"46";
"53";"17";"48";
"53";"36";"92";
"53";"47";"77";
"53";"48";"75";
"53";"49";"117";
"53";"66";"2417";
"53";"67";"2418";
"53";"69";"2420";
"53";"75";"2425";
"53";"76";"2424";
"53";"80";"2441";
"53";"81";"2429";
"53";"84";"2463";
"53";"85";"2466";
"53";"88";"2469";
"53";"89";"2471";
"53";"95";"2476";
"53";"99";"6124";
"53";"100";"6125";
"54";"1";"116";
"54";"9";"27";
"54";"10";"30";
"54";"13";"40";
"54";"14";"42";
"54";"16";"46";
"54";"17";"48";
"54";"21";"56";
"54";"36";"92";
"54";"39";"79";
"54";"47";"77";
"54";"48";"75";
"54";"49";"117";
"54";"66";"2417";
"54";"67";"2418";
"54";"69";"2420";
"54";"75";"2425";
"54";"76";"2424";
"54";"80";"2441";
"54";"81";"2429";
"54";"84";"2463";
"54";"85";"2466";
"54";"88";"2469";
"54";"89";"2471";
"54";"95";"2476";
"54";"99";"51340";
"54";"100";"51341";
"56";"1";"138";
"56";"8";"25";
"56";"9";"27";
"56";"10";"30";
"56";"21";"56";
"56";"39";"79";
"56";"46";"99";
"56";"47";"77";
"56";"48";"75";
"56";"49";"143";
"56";"60";"2411";
"56";"62";"2413";
"56";"77";"2430";
"56";"80";"2433";
"56";"81";"2429";
"56";"85";"2466";
"56";"90";"2470";
"56";"95";"2476";
"56";"98";"2479";
"56";"99";"65607";
"56";"100";"65608";
"57";"1";"123";
"57";"8";"25";
"57";"9";"27";
"57";"10";"30";
"57";"13";"40";
"57";"16";"46";
"57";"21";"56";
"57";"39";"79";
"57";"41";"94";
"57";"47";"77";
"57";"48";"75";
"57";"49";"124";
"57";"66";"2417";
"57";"75";"2425";
"57";"83";"2464";
"57";"86";"2468";
"57";"87";"2467";
"57";"90";"2470";
"57";"91";"2473";
"57";"99";"57025";
"57";"100";"57026";
"58";"1";"125";
"58";"8";"25";
"58";"9";"27";
